School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Network,NWEA: % Above Nat'l Avg Score - All Grades - Reading,NWEA: % Above Nat'l Avg Score - All Grades - Math,NWEA: % Above Nat'l Avg Growth - All Grades - Reading,NWEA: % Above Nat'l Avg Growth - All Grades - Math,ISAT: % Meets/Exceeds - 3rd Grade - Reading,ISAT: % Meets/Exceeds - 5th Grade - Reading/Math Composite,Bilingual %,SpED %,"Free/Reduced
 Lunch %",White %,African American %,Hispanic %,CPS Performance Policy Level,CPS Performance Policy Status,"My Voice, My School Overall Rating",Involved Family,Effective Leaders,Safe,Quality of Facilities,NWEA Reading Growth Percentile All Grades,NWEA Math Growth Percentile All Grades,NWEA Reading Attainment Percentile All Grades,NWEA Math Attainment Percentile All Grades,Suspensions Per 100 students 2013,Percentage Misconducts Resulting in Suspension 2013,Average Length of Suspensions 2013,Student Attendance Percentage 2013,One-Year Drop Out Rate Percentage 2013,Community School
400009,Academy for Global Citizenship Elementary School,4647 W 47th St,Chicago,IL,60632,(773) 582-1100,Charter,-,-,-,-,58%,46%,19.40%,12.00%,79.70%,9%,3%,85%,LEVEL 1,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,,,,,,,,96.50%,,No
400011,Alain Locke Charter Elementary Academy,3141 W Jackson Blvd,Chicago,IL,60612,(773) 265-7232,Charter,-,-,-,-,63%,71%,0.00%,5.10%,93.20%,0%,99%,1%,LEVEL 1,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,,94.40%,,No
400017,ASPIRA Charter - Haugan Campus,3729 W Leland Ave,Chicago,IL,60625,(773) 252-0970,Charter,-,-,-,-,-,-,20.70%,11.70%,97.00%,2%,3%,90%,LEVEL 2,NOT APPLICABLE,ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,,,,,,,,94.80%,,No
400019,Bronzeville Lighthouse Charter Elementary School,8 W Root St,Chicago,IL,60609,(773) 535-1460,Charter,44%,44%,66%,65%,40%,36%,0.20%,11.90%,89.80%,0%,98%,0%,LEVEL 3,NOT APPLICABLE,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,74,76,45,57,,,,98.90%,,No
400020,Catalyst Charter ES - Howland,1616 S Spaulding Ave,Chicago,IL,60623,(773) 527-7330 ,Charter,19%,15%,51%,55%,17%,18%,0.20%,10.60%,99.20%,0%,89%,2%,LEVEL 3,NOT APPLICABLE,PARTIALLY ORGANIZED,VERY WEAK,VERY WEAK,NEUTRAL,WEAK,1,3,4,2,,,,92.70%,,No
400021,Catalyst Elementary School - Circle Rock,5608 W Washington Blvd,Chicago,IL,60644,(773) 945-5025,Charter,35%,36%,58%,67%,28%,35%,0.00%,8.60%,95.20%,0%,84%,0%,LEVEL 3,NOT APPLICABLE,PARTIALLY ORGANIZED,WEAK,NEUTRAL,NEUTRAL,STRONG,25,59,25,25,,,,95.30%,,No
400023,Chicago Intl Charter - Avalon / South Shore,1501 E 83rd Pl,Chicago,IL,60619,(773) 721-0858,Charter,65%,50%,79%,80%,61%,36%,0.00%,8.90%,93.50%,1%,98%,1%,LEVEL 2,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,WEAK,WEAK,99,99,83,60,,,,98.70%,,No
400024,Chicago Intl Charter - Basil,1816 W Garfield Blvd,Chicago,IL,60609,(773) 778-9455,Charter,51%,46%,70%,72%,46%,32%,4.30%,10.50%,95.70%,0%,90%,10%,LEVEL 2,NOT APPLICABLE,NOT YET ORGANIZED,WEAK,VERY WEAK,WEAK,NEUTRAL,98,89,56,48,,,,93.90%,,No
400025,Chicago Intl Charter - Bucktown,2235 N Hamilton Ave,Chicago,IL,60647,(773) 645-3321,Charter,61%,46%,61%,61%,50%,42%,14.40%,11.70%,81.90%,2%,14%,82%,LEVEL 3,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,89,41,71,52,,,,94.90%,,No
400026,Chicago Intl Charter - Loomis Primary,9535 S Loomis St,Chicago,IL,60643,(773) 429-8955,Charter,62%,64%,-,-,-,-,0.20%,8.70%,89.10%,0%,96%,1%,NOT ENOUGH DATA,NOT APPLICABLE,PARTIALLY ORGANIZED,NEUTRAL,WEAK,NOT ENOUGH DATA,STRONG,,,84,90,,,,97.80%,,No
